case,model,threshold_type,raw_threshold_note,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,false_positive_rate,false_negative_rate
loghub2_old_q99,tcn_ae,quantile,train_q99,0.3333333333333333,0.1802469135802469,0.2339743589743589,0.2113514554721322,0.6072154595562064,14422,146,332,73,0.0100219659527732,0.8197530864197531
loghub2_observation_v2,tcn_ae,quantile,train_q99,0.9681462140992168,0.9226175665588456,0.9448337367817556,0.9565977324087772,0.9607753958935707,11887,122,311,3708,0.0101590473811308,0.0773824334411545
rcaeval_observation_v2,tcn_ae,quantile,train_q95,0.8305084745762712,0.6266666666666667,0.7143300248138957,0.808136763328785,0.8566557533651759,8930,470,1372,2303,0.05,0.3733333333333333
