case,method,precision,recall,f1,tn,fp,fn,tp,fpr
loghub2_observation_v2_tcn_ae,tcn_ae q99,0.9681462140992168,0.9226175665588456,0.9448337367817556,11887,122,311,3708,0.0101590473811308
rcaeval_metric_baseline_v2,score_top100_mean q96.0 window32,0.8941048034934498,0.91,0.9019823788546256,2328,97,81,819,0.04
